Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Age,Name,Present ,Present,Event ,Erosion,Lithology,Petroleum system,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system
melut,0,Q+N,0,675,Deposition,,Sandstone ,Overburden Rock,Fula,0,N+Q,0,72,Deposition,,Sandstone ,Overburden ,sufyan,0,N+Q,0,790,Deposition,,Sandstone,Overburden ,Bagarra,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system,,,Depth,Thickness,type,,,,0,Q+N,0,740,Deposition,,Sandstone ,Overburden 
melut,20,E1,675,0,Erosion,-600,,,Fula,20,E1,72,0,Erosion,-300,,,sufyan,20,E1,790,0,Erosion,-300,,,Bagarra,0,Q+N,0,488,Deposition,,Sandstone,Overburden ,0,Q+N,0,544,Deposition,,Sandstone,Overburden,20,E1,740,0,Erosion,-300,,
melut,23,Jimidi,675,65,Deposition,600,Sandstone ,Overburden Rock,Fula,23,Kordofan ,72,963,Deposition,300,Shale ,Overburden ,sufyan,60,Amal,790,471,Deposition,300,Sandstone ,Reservoir ,Bagarra,20,E1,488,0,Erosion,-300,,,20,E1,544,0,Erosion,-300,,,24,P,740,121,Deposition,300,Sandstone ,Overburden 
melut,36,Adar,740,300,Deposition,,Shale ,Seal Rock,Fula,60,Amal,1035,963,Deposition,,Sandstone ,Overburden ,sufyan,66,E2,1261,0,Erosion,-200,,,Bagarra,60,Amal,488,596,Deposition,300,Sandstone ,Overburden ,24,P,544,139,Deposition,300,Sandstone,,66,E2,861,0,Erosion,-100,,
melut,55,Yabus,1040,260,Deposition,,Sandstone ,Reservoir Rock,Fula,66,E2,1998,0,Erosion,-200,,,sufyan,93,Dafur,1261,361,Deposition,200,Shale ,Seal ,Bagarra,66,E2,1084,0,Erosion,-200,,,66,E2,683,0,Erosion,-100,,,72,Campanian Sandstone,861,282,Deposition,100,Sandstone ,Reservoir 
melut,60,Samma,1300,280,Deposition,,Sandstone ,Reservoir Rock,Fula,93,Dafur ,1998,507,Deposition,200,Shale,Seal Rock,sufyan,94,E3,1622,0,Erosion,-150,,,Bagarra,93,Dafur Group,1084,374,Deposition,200,Shale ,Seal ,72,Campanian,683,908,Deposition,100,Sandstone,Overburden,84,E3,1143,0,Erosion,-100,,
melut,66,E2,1580,0,Erosion,-100,,,Fula,94,E3,2505,0,Erosion,-150,,,sufyan,102,Bentiu,1622,1511,Deposition,150,Sandstone ,Reservoir ,Bagarra,94,E3,1458,0,Erosion,-150,,,84,E3,1591,0,Erosion,-100,,,90,Miandoum Fm,1143,248,Deposition,100,Shale ,Seal 
melut,70,Melut,1580,2000,Deposition,100,Sandstone ,,Fula,102,Bentiu,2505,259,Deposition,150,Sandstone ,Reservoir ,sufyan,103,E4,3133,0,Erosion,-100,,,Bagarra,102,Bentiu,1458,618,Deposition,150,Sandstone ,Reservoir ,91,A-Sandstone,1591,26,Deposition,100,Sandstone,Reservoir,91,M-Zone,1391,574,Deposition,,Sandstone ,Reservoir 
melut,94,E3,3580,0,Erosion,-100,,,Fula,103,E4,2764,0,Erosion,-100,,,sufyan,110,AG1a,3133,119,Deposition,100,Sandstone ,Reservoir ,Bagarra,103,E4,2076,0,Erosion,-100,,,94,M-Sandstone,1617,194,Deposition,,Sandstone,Reservoir,94,A-zone,1965,465,Deposition,,Sandstone ,Reservoir 
melut,100,Galhak,3580,200,Deposition,100,Sandstone ,,Fula,110,Abu-gabra1,2764,352,Deposition,100,Shale ,Source Rock,sufyan,112,AG1b,3252,200,Deposition,,Shale ,Source ,Bagarra,110,Abu-gabra1,2076,592,Deposition,100,Shale ,Source ,100,B-Sandstone,1811,380,Deposition,,Sandstone,,100,B-Sandstone,2430,713,Deposition,,Sandstone ,Reservoir 
melut,103,E4,3780,0,Erosion,-100,,,Fula,115,Abu-gabra2,3116,228,Deposition,,Sandstone ,Reservoir ,sufyan,115,AG2a,3452,166,Deposition,,Shale ,Source ,Bagarra,115,Abu-gabra2,2668,561,Deposition,,Sandstone ,Reservoir ,103,E4,2191,0,Erosion,-100,,,103,E4,3143,0,Erosion,-100,,
melut,110,AlGaygher1,3780,600,Deposition,100,Shale (typical),Source Rock,Fula,120,Abu-gabra3,3344,869,Deposition,,Shale,Source Rock,sufyan,116,AG2b,3618,83,Deposition,,Sandstone ,Reservoir ,Bagarra,120,Abu-gabra3,3229,1056,Deposition,,Shale ,Source ,114,UBare,2191,995,Deposition,100,Shale,Seal,114,Mangara 1,3143,139,Deposition,100,Shale ,Source 
melut,115,AlGaygher2,4380,400,Deposition,,Sandstone ,,Fula,126,Abu-gabraBase,4213,,,,,,sufyan,117,AG2c,3701,126,Deposition,,Shale ,Source ,Bagarra,126,Abu-gabraBase,4285,,,,,,115,MBare,3186,125,Deposition,,Sandstone,Reservoir,115,Mangara 2,3282,155,Deposition,,Sandstone ,Reservoir 
melut,120,AlGaygher3,4780,300,Deposition,,Sandstone ,,,,,,,,,,,sufyan,118,AG2d,3827,83,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,120,LBare,3311,602,Deposition,,Shale,Source,118,Mangara 3,3437,218,Deposition,,Shale ,Source 
melut,126,AlGaygherbase,5080,,,,,,,,,,,,,,,sufyan,119,AG2e,3910,97,Deposition,,Shale ,Source ,,,,,,,,,,126,E5,3913,0,Erosion,-100,,,120,C-D Zone,3655,155,Deposition,,Sandstone ,Reservoir 
,,,,,,,,,,,,,,,,,,sufyan,120,AG3a,4007,180,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,127,E Zone,3913,413,Deposition,100,Sandstone,Reservoir,126,E5,3810,0,Erosion,-100,,
,,,,,,,,,,,,,,,,,,sufyan,122,AG3b,4187,790,Deposition,,Shale ,Source ,,,,,,,,,,131,F-Sandstone,4326,1067,Deposition,,Sandstone,Reservoir,127,E-Zone,3810,294,Deposition,100,Sandstone (clay rich),Source 
,,,,,,,,,,,,,,,,,,sufyan,126,AG3b_base,4977,,,,,,,,,,,,,,,132,F-Sandstone -Base,5393,,,,,,130,F-Sandstone,4104,1007,Deposition,,Sandstone ,none
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,F-Sandstone base,5111,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,Age,Name,Depth,Thickness,Event ,Erosion,Lithology,Petroleum system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,,,Depth,Thickness,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,0,Q+N,0,544,Deposition,,Sandstone,Overburden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,20,E1,544,0,Erosion,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,24,P,544,139,Deposition,300,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,66,E2,683,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,72,Campanian,683,908,Deposition,100,Sandstone,Overburden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,84,E3,1591,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,91,A-Sandstone,1591,26,Deposition,100,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,94,M-Sandstone,1617,194,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,100,B-Sandstone,1811,380,Deposition,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,103,E4,2191,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,114,UBare,2191,995,Deposition,100,Shale,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,115,MBare,3186,125,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,120,LBare,3311,602,Deposition,,Shale,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,126,E5,3913,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,127,E Zone,3913,413,Deposition,100,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,131,F-Sandstone,4326,1067,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,132,F-Sandstone -Base,5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,0,Q+N,0,740,Deposition,,Sandstone ,Overburden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,20,E1,740,0,Erosion,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,24,P,740,121,Deposition,300,Sandstone ,Overburden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,66,E2,861,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,72,Campanian Sandstone,861,282,Deposition,100,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,84,E3,1143,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,90,Miandoum Fm,1143,248,Deposition,100,Shale ,Seal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,91,M-Zone,1391,574,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,94,A-zone,1965,465,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,100,B-Sandstone,2430,713,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,103,E4,3143,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,114,Mangara 1,3143,139,Deposition,100,Shale ,Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,115,Mangara 2,3282,155,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,118,Mangara 3,3437,218,Deposition,,Shale ,Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,120,C-D Zone,3655,155,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,126,E5,3810,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,127,E-Zone,3810,294,Deposition,100,Sandstone (clay rich),Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,130,F-Sandstone,4104,1007,Deposition,,Sandstone ,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,131,F-Sandstone base,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
